id,I�O,zau-pf-kpf,si-ida,si-n,si-psc,zuj-zuj-kod-orig,zuj-nzuj,zuj-nuts4,zuj-nazev-nuts4,su-isk,su-ise,su-kpp,si-nu,si-nco,su-esa2010t,su-esa2010,si-tcd,si-cd,si-co,si-at,od,do,edited_by,lchange
1748832,60371790,331,338090917,Staré Město,68603,550752,Staré Město,CZ0722,Uherské Hradiště,,,100 - 199 zaměstnanců,Velehradská,,Místní vládní instituce,13130,1,1527,,,1568401191,0,,13/09/2019 20:59
1748826,60418451,331,338156751,Třebíč,67401,590266,Třebíč,CZ0634,Třebíč,,,50 - 99 zaměstnanců,Kubišova,Horka-Domky,Místní vládní instituce,13130,1,1214,9,,1568401191,0,,13/09/2019 20:59
1748831,60446242,331,338090949,Praha,15800,500143,Praha 5,CZ0100,Praha,,,50 - 99 zaměstnanců,Radlická,Jinonice,Místní vládní instituce,13130,1,591,115,,1568401191,0,,13/09/2019 20:59
1748830,60457911,331,338025853,Středokluky,25268,539708,Středokluky,CZ020A,Praha-západ,,,25 - 49 zaměstnanců,Školská,,Místní vládní instituce,13130,1,105,,,1568401191,0,,13/09/2019 20:59
1748829,60461713,331,338025855,Praha,10100,500224,Praha 10,CZ0100,Praha,,,50 - 99 zaměstnanců,Vršovická,Vršovice,Místní vládní instituce,13130,1,564,43,,1568401191,0,,13/09/2019 20:59
1748828,60545267,331,338615543,Jihlava,58601,586846,Jihlava,CZ0632,Jihlava,,,100 - 199 zaměstnanců,Žižkova,,Místní vládní instituce,13130,1,1939,20,,1568401191,0,,13/09/2019 20:59
1748827,60545976,331,338156754,Jihlava,58601,586846,Jihlava,CZ0632,Jihlava,,,50 - 99 zaměstnanců,Hálkova,,Místní vládní instituce,13130,1,2917,42,,1568401191,0,,13/09/2019 20:59
1748825,60545992,331,337912690,Jihlava,58601,586846,Jihlava,CZ0632,Jihlava,,,100 - 199 zaměstnanců,třída Legionářů,,Místní vládní instituce,13130,1,1572,3,,1568401191,0,,13/09/2019 20:59
1748824,60552255,331,337912694,Brno,61800,551066,Brno-Černovice,CZ0642,Brno-město,,,250 - 499 zaměstnanců,Charbulova,Černovice,Místní vládní instituce,13130,1,1072,106,,1568401191,0,,13/09/2019 20:59
1659746,60646764,112,338250988,České Budějovice,37001,544256,České Budějovice,CZ0311,České Budějovice,,,25 - 49 zaměstnanců,Jeronýmova,České Budějovice 6,Nefinanční podniky soukromé národní,11002,1,28,22,,1568380086,0,,13/09/2019 15:08
1748823,60650478,331,339709643,Volyně,38701,551970,Volyně,CZ0316,Strakonice,,,25 - 49 zaměstnanců,Lidická,,Místní vládní instituce,13130,1,135,,,1568401191,0,,13/09/2019 20:59
1748822,60650486,331,338091046,Blatná,38801,550850,Blatná,CZ0316,Strakonice,,,25 - 49 zaměstnanců,V Jezárkách,,Místní vládní instituce,13130,1,745,,,1568401191,0,,13/09/2019 20:59
1748821,60650494,331,338148719,Volyně,38701,551970,Volyně,CZ0316,Strakonice,,,50 - 99 zaměstnanců,Resslova,,Místní vládní instituce,13130,1,440,,,1568401191,0,,13/09/2019 20:59
1748820,60650770,331,337912872,Vodňany,38901,551953,Vodňany,CZ0316,Strakonice,,,25 - 49 zaměstnanců,Zátiší,Vodňany II,Místní vládní instituce,13130,1,480,,,1568401191,0,,13/09/2019 20:59
1748819,60680318,331,337912906,Valtice,69142,584975,Valtice,CZ0644,Břeclav,,,50 - 99 zaměstnanců,Sobotní,,Místní vládní instituce,13130,1,116,,,1568401191,0,,13/09/2019 20:59
1748818,60680342,331,339206087,,,584291,Břeclav,CZ0644,Břeclav,,,100 - 199 zaměstnanců,,,Místní vládní instituce,13130,,,,"nábř. Komenského 1126 / 1 Břeclav 69025, Břeclav Břeclav",1568401191,0,,13/09/2019 20:59
1748817,60680377,331,339206090,,,584649,Mikulov,CZ0644,Břeclav,,,50 - 99 zaměstnanců,,,Místní vládní instituce,13130,,,,"Komenského 273 / 7 69216, Mikulov Břeclav",1568401190,0,,13/09/2019 20:59
1662723,60775645,112,338091229,Orlová,73514,599069,Orlová,CZ0803,Karviná,,,10 - 19 zaměstnanců,Energetiků,Lutyně,Nefinanční podniky soukromé národní,11002,1,144,,,1568380098,0,,13/09/2019 15:08
1748815,60816759,331,338175565,Jindřichův Hradec,37701,545881,Jindřichův Hradec,CZ0313,Jindřichův Hradec,,,25 - 49 zaměstnanců,Husova,Jindřichův Hradec II,Místní vládní instituce,13130,1,156,,,1568401190,0,,13/09/2019 20:59
1748816,60816899,331,338139408,Jindřichův Hradec,37701,545881,Jindřichův Hradec,CZ0313,Jindřichův Hradec,,,50 - 99 zaměstnanců,Jáchymova,Jindřichův Hradec III,Místní vládní instituce,13130,1,478,,,1568401190,0,,13/09/2019 20:59
1748814,60821221,331,337913632,Český Krumlov,38101,545392,Český Krumlov,CZ0312,Český Krumlov,,,25 - 49 zaměstnanců,Tavírna,Horní Brána,Místní vládní instituce,13130,1,342,,,1568401190,0,,13/09/2019 20:59
1748813,60869038,331,338615686,Písek,39701,549240,Písek,CZ0314,Písek,,,50 - 99 zaměstnanců,Karla Čapka,Budějovické Předměstí,Místní vládní instituce,13130,1,402,,,1568401190,0,,13/09/2019 20:59
1748812,60869054,331,337913738,Písek,39701,549240,Písek,CZ0314,Písek,,,50 - 99 zaměstnanců,Čelakovského,Pražské Předměstí,Místní vládní instituce,13130,1,200,5,,1568401190,0,,13/09/2019 20:59
1748811,60869089,331,338123917,Písek,39701,549240,Písek,CZ0314,Písek,,,25 - 49 zaměstnanců,Čelakovského,Pražské Předměstí,Místní vládní instituce,13130,1,200,5,,1568401190,0,,13/09/2019 20:59
1748810,60869861,331,338058608,Písek,39701,549240,Písek,CZ0314,Písek,,,50 - 99 zaměstnanců,Lesnická,Václavské Předměstí,Místní vládní instituce,13130,1,55,,,1568401190,0,,13/09/2019 20:59
1748809,60884690,331,339589965,Kostelec nad Orlicí,51741,576361,Kostelec nad Orlicí,CZ0524,Rychnov nad Kněžnou,,,50 - 99 zaměstnanců,Komenského,,Místní vládní instituce,13130,1,873,,,1568401190,0,,13/09/2019 20:59
1748808,60884711,331,338123926,Kostelec nad Orlicí,51741,576361,Kostelec nad Orlicí,CZ0524,Rychnov nad Kněžnou,,,25 - 49 zaměstnanců,Komenského,,Místní vládní instituce,13130,1,522,,,1568401190,0,,13/09/2019 20:59
1748807,60884746,331,337913764,Dobruška,51801,576271,Dobruška,CZ0524,Rychnov nad Kněžnou,,,25 - 49 zaměstnanců,Čs. odboje,,Místní vládní instituce,13130,1,670,,,1568401190,0,,13/09/2019 20:59
1748806,61100234,331,337929419,Příbram,26101,539911,Příbram,CZ020B,Příbram,,,50 - 99 zaměstnanců,Hrabákova,Příbram II,Místní vládní instituce,13130,1,271,,,1568401190,0,,13/09/2019 20:59
1748805,61100242,331,338058703,Sedlčany,26401,541281,Sedlčany,CZ020B,Příbram,,,25 - 49 zaměstnanců,Nádražní,,Místní vládní instituce,13130,1,90,,,1568401190,0,,13/09/2019 20:59
1748804,61100277,331,337914109,Březnice,26272,540013,Březnice,CZ020B,Příbram,,,25 - 49 zaměstnanců,Rožmitálská,,Místní vládní instituce,13130,1,340,,,1568401190,0,,13/09/2019 20:59
1748803,61100412,331,337929422,Příbram,26101,539911,Příbram,CZ020B,Příbram,,,25 - 49 zaměstnanců,Na Příkopech,Příbram I,Místní vládní instituce,13130,1,104,,,1568401190,0,,13/09/2019 20:59
1748802,61342637,331,337914423,Kadaň,43201,563102,Kadaň,CZ0422,Chomutov,,,25 - 49 zaměstnanců,Komenského,,Místní vládní instituce,13130,1,562,,,1568401190,0,,13/09/2019 20:59
1748801,61357294,331,337914441,Žatec,43801,566985,Žatec,CZ0424,Louny,,,50 - 99 zaměstnanců,Studentská,,Místní vládní instituce,13130,1,1354,,,1568401190,0,,13/09/2019 20:59
1748800,61384534,331,338615802,Praha,16000,500178,Praha 6,CZ0100,Praha,,,50 - 99 zaměstnanců,Krupkovo náměstí,Bubeneč,Místní vládní instituce,13130,1,26,4,,1568401190,0,,13/09/2019 20:59
1748799,61385301,331,337929436,Praha,12000,500089,Praha 2,CZ0100,Praha,,,50 - 99 zaměstnanců,Ječná,Nové Město,Místní vládní instituce,13130,1,517,30,,1568401190,0,,13/09/2019 20:59
1748798,61385387,331,338197270,Praha,10100,500224,Praha 10,CZ0100,Praha,,,50 - 99 zaměstnanců,Heroldovy sady,Vršovice,Místní vládní instituce,13130,1,362,1,,1568401190,0,,13/09/2019 20:59
1748797,61385409,331,338091495,Praha,10000,500224,Praha 10,CZ0100,Praha,,,50 - 99 zaměstnanců,V úžlabině,Malešice,Místní vládní instituce,13130,1,320,23,,1568401190,0,,13/09/2019 20:59
1748796,61385417,331,338026404,Praha,10000,500224,Praha 10,CZ0100,Praha,,,100 - 199 zaměstnanců,Na Třebešíně,Strašnice,Místní vládní instituce,13130,1,2299,69,,1568401190,0,,13/09/2019 20:59
1748795,61385891,331,338139485,Praha,17000,500186,Praha 7,CZ0100,Praha,,,50 - 99 zaměstnanců,Jablonského,Holešovice,Místní vládní instituce,13130,1,333,3,,1568401190,0,,13/09/2019 20:59
1748794,61385930,331,338358202,Praha,12800,500089,Praha 2,CZ0100,Praha,,,100 - 199 zaměstnanců,Podskalská,Nové Město,Místní vládní instituce,13130,1,365,10,,1568401189,0,,13/09/2019 20:59
1748793,61386138,331,338091498,Praha,12000,500089,Praha 2,CZ0100,Praha,,,50 - 99 zaměstnanců,Resslova,Nové Město,Místní vládní instituce,13130,1,1940,5,,1568401189,0,,13/09/2019 20:59
1748792,61386278,331,338026406,Praha,19000,500216,Praha 9,CZ0100,Praha,,,25 - 49 zaměstnanců,Pod Táborem,Hrdlořezy,Místní vládní instituce,13130,1,300,7,,1568401189,0,,13/09/2019 20:59
1748791,61386626,331,338801600,Praha,17000,500186,Praha 7,CZ0100,Praha,,,50 - 99 zaměstnanců,Jablonského,Holešovice,Místní vládní instituce,13130,1,333,3,,1568401189,0,,13/09/2019 20:59
1748790,61386774,331,338222018,Praha,12000,500089,Praha 2,CZ0100,Praha,,,50 - 99 zaměstnanců,Vinohradská,Vinohrady,Místní vládní instituce,13130,1,1971,38,,1568401189,0,,13/09/2019 20:59
1748789,61386855,331,338205565,Praha,15000,500143,Praha 5,CZ0100,Praha,,,50 - 99 zaměstnanců,Preslova,Smíchov,Místní vládní instituce,13130,1,72,25,,1568401189,0,,13/09/2019 20:59
1748788,61386871,331,338091502,Praha,13000,500097,Praha 3,CZ0100,Praha,,,50 - 99 zaměstnanců,Hollarovo náměstí,Vinohrady,Místní vládní instituce,13130,1,2275,2,,1568401189,0,,13/09/2019 20:59
1748787,61387002,331,338183751,Praha,11000,500054,Praha 1,CZ0100,Praha,,,50 - 99 zaměstnanců,U půjčovny,Nové Město,Místní vládní instituce,13130,1,1274,9,,1568401189,0,,13/09/2019 20:59
1748786,61387339,331,339094070,,,500054,Praha 1,CZ0100,Praha,,,100 - 199 zaměstnanců,,,Ústřední vládní instituce,13110,,,,"Maltézské náměstí 529 / 14 Malá Strana 118 44, Praha Hlavní město Praha",1568401189,0,,13/09/2019 20:59
1748785,61388017,331,338154077,Praha,13000,500097,Praha 3,CZ0100,Praha,,,50 - 99 zaměstnanců,U vinohradského hřbitova,Vinohrady,Místní vládní instituce,13130,1,2471,3,,1568401189,0,,13/09/2019 20:59
1748784,61388025,331,337914543,Praha,13000,500097,Praha 3,CZ0100,Praha,,,100 - 199 zaměstnanců,Žižkovo náměstí,Žižkov,Místní vládní instituce,13130,1,1300,1,,1568401189,0,,13/09/2019 20:59
1748783,61388068,331,339709803,Praha,16000,500178,Praha 6,CZ0100,Praha,,,50 - 99 zaměstnanců,Evropská,Dejvice,Místní vládní instituce,13130,1,330,33,,1568401189,0,,13/09/2019 20:59
1748782,61388149,331,338535593,Praha,12000,500089,Praha 2,CZ0100,Praha,,,50 - 99 zaměstnanců,Ječná,Nové Město,Místní vládní instituce,13130,1,530,27,,1568401189,0,,13/09/2019 20:59
1748781,61388262,331,337914547,Praha,18200,500208,Praha 8,CZ0100,Praha,,,50 - 99 zaměstnanců,U měšťanských škol,Kobylisy,Místní vládní instituce,13130,1,525,1,,1568401189,0,,13/09/2019 20:59
1748779,61388548,331,338124122,Praha,18600,500208,Praha 8,CZ0100,Praha,,,50 - 99 zaměstnanců,Kollárova,Karlín,Místní vládní instituce,13130,1,271,5,,1568401189,0,,13/09/2019 20:59
1748780,61388726,331,338801610,Praha,11000,500054,Praha 1,CZ0100,Praha,,,50 - 99 zaměstnanců,Dušní,Staré Město,Místní vládní instituce,13130,1,900,17,,1568401189,0,,13/09/2019 20:59
1748778,61388866,331,338124123,Praha,11000,500054,Praha 1,CZ0100,Praha,,,100 - 199 zaměstnanců,Panská,Nové Město,Místní vládní instituce,13130,1,856,3,,1568401189,0,,13/09/2019 20:59
